author_id,am,ar,ca,cs,cy,da,de,el,en,es,et,eu,fa,fi,fr,hi,ht,hu,in,is,it,iw,ja,lt,lv,ml,nl,no,pl,ps,pt,ro,ru,sl,sv,tl,tr,uk,und,ur,vi,zh
18953259.0,0,0,0,0,0,0,1,0,1367,6,2,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,26,1,0,387,0,0,0
19111767.0,0,0,0,0,1,0,1,0,1038,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,103,0,0,0
19335378.0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
19346439.0,0,0,0,0,3,1,4,0,3015,2,1,0,0,0,7,0,4,1,4,0,1,1,0,1,0,0,1,4,3,0,3,2,0,0,1,5,0,1,148,0,0,0
19530289.0,0,0,0,0,1,0,1,1,3148,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,76,0,0,0
19534873.0,0,0,0,0,2,0,3,0,3081,9,0,0,0,0,6,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,8,1,0,0,0,1,0,0,115,0,1,0
19588385.0,0,0,0,0,1,0,0,0,299,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0
19644592.0,0,0,0,0,1,0,3,0,3122,7,0,0,0,0,18,0,0,0,1,0,0,0,0,1,0,0,5,1,1,0,9,0,1,0,0,3,0,0,45,0,0,0
19660870.0,0,0,2,0,4,2,1,0,3019,6,2,0,0,0,24,0,1,0,1,0,2,0,0,0,0,0,1,2,1,0,3,0,0,0,0,2,1,0,80,0,0,0
19725644.0,0,0,1,0,0,0,0,0,1644,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,49,0,0,0
19811190.0,0,1,3,0,2,2,23,4,3096,21,0,1,0,1,14,0,2,1,0,0,7,0,0,0,0,0,0,1,0,0,11,4,0,0,0,2,0,0,51,0,0,0
19818494.0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,30,0,0,0
19902709.0,0,0,0,0,1,0,0,0,3175,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67,0,0,0
20015311.0,0,0,0,0,1,1,2,0,2732,4,0,1,0,0,7,0,2,0,3,0,1,0,0,0,0,0,2,1,1,0,2,0,0,0,1,3,2,0,442,0,0,0
20094409.0,0,0,0,0,0,0,3,0,3157,6,1,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,56,0,0,0
20137622.0,0,0,0,0,0,0,0,0,818,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,41,0,0,0
20155652.0,0,0,0,0,2,0,5,0,843,0,1,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,25,0,0,0
20244875.0,0,0,0,0,0,0,3,0,1876,2,5,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,20,0,0,60,0,0,0
20632700.0,0,0,0,0,0,0,0,0,1089,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,12,0,0,0,1,0,0,0,1,15,2,0,29,0,0,0
20685935.0,0,0,2,1,1,1,2,0,3046,7,1,1,0,0,9,0,2,0,5,0,0,0,0,5,0,0,2,1,1,0,2,0,0,0,2,3,1,0,140,0,0,0
22021978.0,0,0,0,0,2,0,1,0,3045,2,2,0,0,0,2,0,1,1,2,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,155,0,0,0
22812734.0,0,0,0,0,0,0,0,0,3222,2,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,16,0,0,0
24447643.0,0,0,0,0,1,0,4,0,1144,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0
25489250.0,0,0,0,0,0,0,0,0,1841,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,2,3,0,0,78,0,0,0
25657401.0,0,0,0,0,0,0,0,0,1649,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0
33300246.0,0,0,0,0,0,0,2,0,3174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,17,0,0,0
33537967.0,0,0,1,0,0,0,1,0,3235,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
33552797.0,0,0,0,0,0,0,0,0,308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
44101412.0,0,0,1,0,0,1,3,0,2646,4,0,1,0,0,1,0,3,1,3,1,3,0,0,0,1,0,0,0,0,0,2,0,0,0,1,3,0,0,559,0,0,0
44578328.0,0,0,1,1,0,0,6,0,3154,4,1,0,0,0,3,0,0,0,0,0,1,16,0,0,0,0,1,1,0,0,4,1,0,0,1,0,0,0,44,0,0,0
44874400.0,0,0,2,0,2,0,4,0,3120,7,1,0,0,2,5,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,91,0,0,0
45341566.0,0,0,0,0,0,0,1,0,3167,2,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,36,0,0,0
46959037.0,0,0,1,3,1,0,3,0,3071,4,1,3,0,1,9,0,3,0,4,0,1,0,0,1,0,0,1,1,1,0,15,2,0,0,0,1,0,0,78,0,0,0
61183568.0,0,0,0,0,0,1,0,0,3143,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,10,0,1,2,0,0,0,0,0,0,86,0,0,0
65045121.0,0,0,0,0,1,0,0,0,3110,4,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,108,0,0,0
80127034.0,0,0,0,0,0,0,0,0,232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,35,0,0,0
83855918.0,0,0,0,0,0,0,0,0,271,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,0
84351228.0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
86664924.0,0,0,1,0,1,0,1,0,3176,5,0,0,0,0,9,0,1,1,1,0,3,0,0,2,0,0,1,0,0,0,3,0,0,0,2,1,0,0,40,0,0,0
94628304.0,0,0,0,0,0,0,0,0,586,0,2,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,61,0,0,0
96205284.0,0,0,0,0,1,0,0,0,3019,4,2,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,153,0,0,0
117366399.0,0,0,1,0,3,0,10,0,3175,2,0,3,0,1,10,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,9,0,0,0,13,0,0,0
128216887.0,0,0,2,0,0,0,1,0,1853,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,28,0,0,0
130557513.0,0,0,0,0,0,1,2,0,3027,7,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,145,0,0,0
150632123.0,0,0,1,0,0,1,1,0,1583,7,0,2,0,0,4,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,5,0,0,0,1,8,0,0,236,0,0,0
153810216.0,0,0,0,0,0,0,0,0,3205,4,1,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,22,1,0,0
155927976.0,0,0,0,1,2,4,3,0,2202,27,12,1,0,1,7,0,0,0,7,0,11,0,0,0,0,0,0,1,0,0,4,0,0,0,1,7,0,0,413,0,4,0
160272734.0,0,0,0,0,2,0,0,0,232,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,44,0,0,0
