,Unique_ID,Unnamed: 0,referenced_tweets,text,author_id,created_at,id,conversation_id,source,reply_settings,lang,public_metrics,in_reply_to_user_id,geo,withheld,Hashtags,covid_hashtags,brexit_hashtags,esg_hashtags;;;;;
"38,37,38,""[{'type': 'replied_to', 'id': '1461401100519673858'}]"",@GovStitt Thanks for choosing life,8161232.0,2021-11-18T21:00:03.000Z,1461439080298958849,1461401100519673858,Twitter Web App,everyone,en,""{'retweet_count': 5, 'reply_count': 14, 'like_count': 39, 'quote_count': 1}"",8.652108776786862e+17,,,[],0,0,0";;;;;
"39,38,39,""[{'type': 'retweeted', 'id': '1461399574862385154'}]"",RT @helenprejean: BREAKING: @GovStitt grants clemency and commutes Julius Jones’s death sentence to life without parole. The execution sche…,8161232.0,2021-11-18T18:29:16.000Z,1461401134703259650,1461401134703259650,Twitter Web App,everyone,en,""{'retweet_count': 1916, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"",,,,[],0,0,0";;;;;
"40,39,40,,An open letter to @GovStitt of Oklahoma. I hope you will follow your own Parole Board’s recommendation and grant clemency to Julius Jones: https://t.co/P9jBCjBfux #JusticeforJulius https://t.co/4KfOXaNo9m,8161232.0,2021-11-18T16:19:03.000Z,1461368364086009859,1461368364086009859,Hootsuite Inc.,everyone,en,""{'retweet_count': 156, 'reply_count': 79, 'like_count': 706, 'quote_count': 18}"",,,,['JusticeforJulius'],0,0,0";;;;;
"41,40,41,""[{'type': 'retweeted', 'id': '1460957612925767680'}]"",RT @VirginOrbit: Announcing! 🚀 Virgin Orbit signed a partnership with @Astroscale_US to drive the future of space sustainability and the on…,8161232.0,2021-11-17T16:41:28.000Z,1461011619039924228,1461011619039924228,Twitter Web App,everyone,en,""{'retweet_count': 56, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"",,,,[],0,0,0";;;;;
"42,41,42,""[{'type': 'retweeted', 'id': '1460325696262180864'}]"",RT @VirginOrbit: Join us Wednesday November 17 for an investor presentation and look at the new heights we're rocketing to! RSVP by visitin…,8161232.0,2021-11-16T22:23:51.000Z,1460735393524064258,1460735393524064258,Twitter Web App,everyone,en,""{'retweet_count': 23, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"",,,,[],0,0,0";;;;;
"43,42,43,,Nagaenthran Dharmalingam has received a stay of execution - but it’s only temporary. Singapore should stop his execution for good: https://t.co/DRiSW87Cyx,8161232.0,2021-11-15T18:23:29.000Z,1460312514630197254,1460312514630197254,Hootsuite Inc.,everyone,en,""{'retweet_count': 45, 'reply_count': 113, 'like_count': 253, 'quote_count': 9}"",,,,[],0,0,0";;;;;
"44,43,44,,Inspiring to hear how First Step Legal is assisting some of the most disadvantaged and disenfranchised members of the community in Australia. Very proud of @VirginUnite and @_IgnitingChange for supporting this incredible work: https://t.co/XmKG1nlQGZ https://t.co/mnfSPEC0Ts,8161232.0,2021-11-11T23:00:19.000Z,1458932631232524297,1458932631232524297,Hootsuite Inc.,everyone,en,""{'retweet_count': 23, 'reply_count': 33, 'like_count': 189, 'quote_count': 7}"",,,,[],0,0,0";;;;;
"45,44,45,,""Refreshing and insightful take from @nicolareindorp at @Crisis_Action on the power of doubt to spark self-awareness, curiosity, listening, and never accepting the unacceptable: https://t.co/QjoooeB2wv https://t.co/ddTHRCmB1N"",8161232.0,2021-11-11T17:02:34.000Z,1458842599670878208,1458842599670878208,Hootsuite Inc.,everyone,en,""{'retweet_count': 17, 'reply_count': 28, 'like_count': 112, 'quote_count': 3}"",,,,[],0,0,0";;;;;
"46,45,46,,""Recovering well from a colossal cycling crash. Thankfully we’re ok, but some big bumps and bruises! Here’s how it happened: https://t.co/0bqPCaZXcD https://t.co/493v2T4dT4"",8161232.0,2021-11-10T14:16:34.000Z,1458438435665059840,1458438435665059840,Hootsuite Inc.,everyone,en,""{'retweet_count': 110, 'reply_count': 286, 'like_count': 1748, 'quote_count': 32}"",,,,[],0,0,0";;;;;
"47,46,47,,Brilliant to see @VirginOrbit preparing for its next space mission – due to launch before the end of the year. Here’s more: https://t.co/DXFe65e4bS #AboveTheClouds https://t.co/JRkzfavVh4,8161232.0,2021-11-09T16:36:28.000Z,1458111255177203718,1458111255177203718,Hootsuite Inc.,everyone,en,""{'retweet_count': 99, 'reply_count': 71, 'like_count': 1018, 'quote_count': 10}"",,,,['AboveTheClouds'],0,0,0";;;;;
"48,47,48,,""One step closer to self-driving cars. @wayve_ai, a company we’re proud to invest in, has tested its autonomous vehicles in new UK cities: https://t.co/aY91F6dOqE https://t.co/4P9YbIdnDb"",8161232.0,2021-11-08T17:23:28.000Z,1457760696532357120,1457760696532357120,Hootsuite Inc.,everyone,en,""{'retweet_count': 69, 'reply_count': 80, 'like_count': 445, 'quote_count': 6}"",,,,[],0,0,0";;;;;
"49,48,49,,Nagaenthran Dharmalingam’s ordeal in Singapore’s criminal justice system exposes the fatal flaws of the death penalty: https://t.co/LkC1peCYRR #DeathPenalty #NagaenthranDharmalingam https://t.co/p1zBBIyvt2,8161232.0,2021-11-08T07:34:02.000Z,1457612359728570370,1457612359728570370,Hootsuite Inc.,everyone,en,""{'retweet_count': 394, 'reply_count': 75, 'like_count': 904, 'quote_count': 42}"",,,,""['DeathPenalty', 'NagaenthranDharmalingam']"",0,0,0";;;;;
"50,49,50,,.@VirginOrbit is bringing air-launch to the Eastern Hemisphere for the first time in history. Here's more: https://t.co/vaPL1Abbhb#VirginFamily @ANA_SPACE_PRJ https://t.co/O2xvgtthND,8161232.0,2021-11-05T17:35:02.000Z,1456676443925188612,1456676443925188612,Hootsuite Inc.,everyone,en,""{'retweet_count': 45, 'reply_count': 47, 'like_count': 454, 'quote_count': 8}"",,,,[],0,0,0";;;;;
"51,50,51,,""Cultivated meat is critical to caring for the planet and future generations. @upsidefoods, which we’re proud to invest in, is bringing the industry forward with its EPIC Engineering, Production, and Innovation Center: https://t.co/dUHpsrs7LH https://t.co/f7JwWCiB3t"",8161232.0,2021-11-04T16:46:57.000Z,1456301954435534849,1456301954435534849,Twitter Web App,everyone,en,""{'retweet_count': 38, 'reply_count': 54, 'like_count': 177, 'quote_count': 9}"",,,,[],0,0,0";;;;;
"52,51,52,""[{'type': 'retweeted', 'id': '1456289546761506817'}]"",RT @upsidefoods: UPSIDE Foods: Live Ribbon Cutting for our EPIC Facility https://t.co/6maKpUgm7B,8161232.0,2021-11-04T16:02:30.000Z,1456290769862545410,1456290769862545410,Twitter Web App,everyone,en,""{'retweet_count': 29, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"",,,,[],0,0,0";;;;;
"53,52,53,""[{'type': 'replied_to', 'id': '1452579671476998146'}]"",@VirginLimitedEd So beautiful.,8161232.0,2021-10-28T09:19:12.000Z,1453652558367662080,1452579671476998146,Twitter Web App,everyone,en,""{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}"",79983896.0,,,[],0,0,0";;;;;
"54,53,54,""[{'type': 'replied_to', 'id': '1453270242180931586'}]"",@VirginAtlantic Exciting days ahead,8161232.0,2021-10-28T09:17:39.000Z,1453652169375244290,1453270242180931586,Twitter Web App,everyone,en,""{'retweet_count': 1, 'reply_count': 7, 'like_count': 27, 'quote_count': 0}"",20626359.0,,,[],0,0,0";;;;;
"55,54,55,""[{'type': 'replied_to', 'id': '1452656229147308036'}]"",@textbento @adamdole @NotImpossible @MickEbeling @estherswilliams Congratulations! Very well deserved,8161232.0,2021-10-28T09:17:14.000Z,1453652063796305920,1452656229147308036,Twitter Web App,everyone,en,""{'retweet_count': 0, 'reply_count': 1, 'like_count': 8, 'quote_count': 2}"",1.3900967455986565e+18,,,[],0,0,0";;;;;
"56,55,56,,""We can’t create criminal justice reform without addressing the #WarOnDrugs. Great to speak with @Itsjasonflom &amp"; Celia Ouellette about decriminalising &amp; regulating drugs, abolishing the #DeathPenalty &amp;" the work being done by the @RBI_Justice: https://t.co/tPB9GN79hy https://t.co/jnUCJ3g844"",8161232.0,2021-10-27T14:31:52.000Z,1453368858262245379,1453368858262245379,Twitter Web App,everyone,en,""{'retweet_count': 65, 'reply_count': 98, 'like_count': 329, 'quote_count': 16}"",,,,""['DeathPenalty', 'WarOnDrugs.']"",0,0,0";;
"57,56,57,,Wonderful to see @VirginStartUp business Nice Drinks stocked on board @VirginAtlantic - it’s great to be able to use the Virgin brand to support start-ups and help them scale: https://t.co/K0N4pZOyx9 #VirginFamily https://t.co/D2YrCGANxf,8161232.0,2021-10-27T08:14:28.000Z,1453273880085340164,1453273880085340164,Hootsuite Inc.,everyone,en,""{'retweet_count': 29, 'reply_count': 38, 'like_count': 275, 'quote_count': 7}"",,,,['VirginFamily'],0,0,0";;;;;
"58,57,58,,""As the global community moves to protect more of the ocean by 2030, we must ensure that marine areas are fully protected https://t.co/6xBGE9cWCK @WildAid @oceanunite https://t.co/K71tMWK7Vw"",8161232.0,2021-10-26T20:00:30.000Z,1453089173200592901,1453089173200592901,Hootsuite Inc.,everyone,en,""{'retweet_count': 70, 'reply_count': 73, 'like_count': 436, 'quote_count': 9}"",,,,[],0,0,0";;;;;
"59,58,59,,This story shows how political will and meaningful investment in marine enforcement can deliver real protection for critical marine resources: https://t.co/6xBGE9cWCK @WildAid @oceanunite,8161232.0,2021-10-26T18:00:36.000Z,1453059000837320710,1453059000837320710,Hootsuite Inc.,everyone,en,""{'retweet_count': 19, 'reply_count': 20, 'like_count': 104, 'quote_count': 3}"",,,,[],0,0,0";;;;;
"60,59,60,,Getting to 30x30 in one of the world’s most special places - the Galapagos Marine Reserve https://t.co/6xBGE9cWCK @WildAid @oceanunite https://t.co/274cDTaK24,8161232.0,2021-10-26T14:01:44.000Z,1452998886503632896,1452998886503632896,Hootsuite Inc.,everyone,en,""{'retweet_count': 56, 'reply_count': 29, 'like_count': 459, 'quote_count': 5}"",,,,[],0,0,0";;;;;
"61,60,61,,One of the most wonderful things about the #VirginFamily is the number of delightfully surprising connections that crop up – here’s a few: https://t.co/Xt1mNMU2oV,8161232.0,2021-10-25T16:55:00.000Z,1452680102676946945,1452680102676946945,Hootsuite Inc.,everyone,en,""{'retweet_count': 25, 'reply_count': 43, 'like_count': 228, 'quote_count': 5}"",,,,['VirginFamily'],0,0,0";;;;;
"62,61,62,,How @virginplus is supporting Canadian communities and the planet: https://t.co/77qf54Kw9g,8161232.0,2021-10-24T14:00:37.000Z,1452273827484950532,1452273827484950532,Hootsuite Inc.,everyone,en,""{'retweet_count': 28, 'reply_count': 30, 'like_count': 188, 'quote_count': 4}"",,,,[],0,0,0";;;;;
"63,62,63,,Brilliant to see @VirginRed adding four new charities to its rewards club: https://t.co/AQCWhi7RL7,8161232.0,2021-10-23T12:00:27.000Z,1451881202256916480,1451881202256916480,Hootsuite Inc.,everyone,en,""{'retweet_count': 25, 'reply_count': 44, 'like_count': 247, 'quote_count': 4}"",,,,[],0,0,0";;;;;
"64,63,64,""[{'type': 'quoted', 'id': '1451097966153015297'}]"",Happy Birthday @VirginMENA! Brilliant to look back and see just how far you’ve come. #VirginFamily https://t.co/EwsKGfjjra,8161232.0,2021-10-21T15:10:44.000Z,1451204311896236035,1451204311896236035,Twitter Web App,everyone,en,""{'retweet_count': 33, 'reply_count': 58, 'like_count': 248, 'quote_count': 4}"",,,,['VirginFamily'],0,0,0";;;;;
"65,64,65,""[{'type': 'retweeted', 'id': '1450816068511940621'}]"",RT @GlobalDignity: Happy #GlobalDignityDay! 🥳 Head to https://t.co/EqlWBGnK6N to learn more about what #dignity is + for free #teaching and…,8161232.0,2021-10-20T16:14:37.000Z,1450858001234112520,1450858001234112520,Twitter Web App,everyone,en,""{'retweet_count': 17, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"",,,,""['teaching', 'dignity', 'GlobalDignityDay!']"",0,0,0";;;;;
